Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2000-01-06,51.900001525878906,52.099998474121094,51.54999923706055,52.08000183105469,7247,51.560001373291016,50.72999954223633,51.06999969482422,0.5499992370605469,1.0900001525878906,0.720001220703125,0.75,-0.18000030517578125,-0.8100013732910156,0.17000198364257812,-0.6399993896484375,10464,4709,8033,51.25285775320871,51.18308224574333,51.15010036708988,0.010034828353012866,1
2000-01-07,52.08000183105469,54.04999923706055,51.900001525878906,53.959999084472656,19389,52.08000183105469,51.560001373291016,50.72999954223633,2.1499977111816406,0.5499992370605469,1.0900001525878906,0.720001220703125,-1.8799972534179688,-0.18000030517578125,-0.8100013732910156,0.17000198364257812,7247,10464,4709,51.69400126139323,51.53335113155489,51.44600167984512,0.03546198131396359,1
2000-01-10,53.849998474121094,53.95000076293945,53.20000076293945,53.560001373291016,8349,53.959999084472656,52.08000183105469,51.560001373291016,0.75,2.1499977111816406,0.5499992370605469,1.0900001525878906,0.2899971008300781,-1.8799972534179688,-0.18000030517578125,-0.8100013732910156,19389,7247,10464,52.863548524918095,52.39672407762724,52.13616605235312,-0.007440467909569993,0
2000-01-11,53.599998474121094,54.20000076293945,53.310001373291016,54.18000030517578,8698,53.560001373291016,53.959999084472656,52.08000183105469,0.8899993896484375,0.75,2.1499977111816406,0.5499992370605469,-0.5800018310546875,0.2899971008300781,-1.8799972534179688,-0.18000030517578125,8349,19389,7247,53.21730235266307,52.786113827912466,52.486600721439714,0.01150929582636994,1
2000-01-12,54.20000076293945,54.599998474121094,53.650001525878906,53.720001220703125,11455,54.18000030517578,53.560001373291016,53.959999084472656,0.9499969482421875,0.8899993896484375,0.75,2.1499977111816406,0.4799995422363281,-0.5800018310546875,0.2899971008300781,-1.8799972534179688,8698,8349,19389,53.70244147833877,53.2339579246098,52.8700170103002,-0.008526447911101787,0
2000-01-13,53.900001525878906,54.79999923706055,53.400001525878906,54.75,8413,53.720001220703125,54.18000030517578,53.560001373291016,1.3999977111816406,0.9499969482421875,0.8899993896484375,0.75,-0.8499984741210938,0.4799995422363281,-0.5800018310546875,0.2899971008300781,11455,8698,8349,53.71125578038833,53.38580729578363,53.05033105677066,0.018991974318134885,1
2000-01-14,54.91999816894531,55.849998474121094,54.650001525878906,55.119998931884766,14981,54.75,53.720001220703125,54.18000030517578,1.1999969482421875,1.3999977111816406,0.9499969482421875,0.8899993896484375,-0.20000076293945312,-0.8499984741210938,0.4799995422363281,-0.5800018310546875,8413,11455,8698,54.231644273970694,53.80384491522188,53.39273631762435,0.006735238630795044,1
2000-01-18,55.0,55.099998474121094,54.2599983215332,54.7599983215332,5269,55.119998931884766,54.75,53.720001220703125,0.8400001525878906,1.1999969482421875,1.3999977111816406,0.9499969482421875,0.24000167846679688,-0.20000076293945312,-0.8499984741210938,0.4799995422363281,14981,8413,11455,54.676255793865124,54.20177274633893,53.726562719472994,-0.006552637558486946,0
2000-01-19,55.099998474121094,57.7599983215332,55.099998474121094,57.75,18631,54.7599983215332,55.119998931884766,54.75,2.6599998474121094,0.8400001525878906,1.1999969482421875,1.3999977111816406,-2.6500015258789062,0.24000167846679688,-0.20000076293945312,-0.8499984741210938,5269,14981,8413,54.71814751263997,54.368967754508354,53.91969536839486,0.05316337963298466,1
2000-01-20,57.650001525878906,57.79999923706055,56.599998474121094,57.439998626708984,8938,57.75,54.7599983215332,55.119998931884766,1.2000007629394531,2.6599998474121094,0.8400001525878906,1.1999969482421875,0.21000289916992188,-2.6500015258789062,0.24000167846679688,-0.20000076293945312,18631,5269,14981,56.23444394587888,55.37496792445794,54.6161698798905,-0.00538244857020424,0
2000-01-21,57.849998474121094,58.599998474121094,55.79999923706055,56.150001525878906,12250,57.439998626708984,57.75,54.7599983215332,2.799999237060547,1.2000007629394531,2.6599998474121094,0.8400001525878906,1.6999969482421875,0.21000289916992188,-2.6500015258789062,0.24000167846679688,8938,18631,5269,56.83729487649543,55.986558599944274,55.11822298864641,-0.0227141924721996,0
2000-01-24,56.29999923706055,57.04999923706055,55.849998474121094,56.349998474121094,4199,56.150001525878906,57.439998626708984,57.75,1.2000007629394531,2.799999237060547,1.2000007629394531,2.6599998474121094,-0.049999237060546875,1.6999969482421875,0.21000289916992188,-2.6500015258789062,12250,8938,18631,56.49362722537838,56.03480686417788,55.29829930021448,0.0035555050476894336,1
2000-01-25,56.150001525878906,58.0,56.099998474121094,57.86000061035156,6755,56.349998474121094,56.150001525878906,57.439998626708984,1.9000015258789062,1.2000007629394531,2.799999237060547,1.2000007629394531,-1.7099990844726562,-0.049999237060546875,1.6999969482421875,0.21000289916992188,4199,12250,8938,56.42181065808204,56.127637169186606,55.47906381154621,0.026444096689565703,1
2000-01-26,57.900001525878906,58.75,56.70000076293945,57.41999816894531,6721,57.86000061035156,56.349998474121094,56.150001525878906,2.049999237060547,1.9000015258789062,1.2000007629394531,2.799999237060547,0.48000335693359375,-1.7099990844726562,-0.049999237060546875,1.6999969482421875,6755,4199,12250,57.140916606902785,56.63702446775921,55.883133763273435,-0.007633667292633262,0
2000-01-27,57.400001525878906,57.900001525878906,56.560001373291016,57.529998779296875,5566,57.41999816894531,57.86000061035156,56.349998474121094,1.3400001525878906,2.049999237060547,1.9000015258789062,1.2000007629394531,-0.12999725341796875,0.48000335693359375,-1.7099990844726562,-0.049999237060546875,6721,6755,4199,57.28045845254384,56.86698734405389,56.14121829693403,0.0019138868525318319,1
2000-01-28,57.5,57.79999923706055,56.900001525878906,57.45000076293945,4054,57.529998779296875,57.41999816894531,57.86000061035156,0.8999977111816406,1.3400001525878906,2.049999237060547,1.9000015258789062,0.049999237060546875,-0.12999725341796875,0.48000335693359375,-1.7099990844726562,5566,6721,6755,57.405229091882575,57.06155892004168,56.37239490950361,-0.0013915120818281171,0
2000-01-31,56.900001525878906,57.900001525878906,56.45000076293945,57.86000061035156,6238,57.45000076293945,57.529998779296875,57.41999816894531,1.4500007629394531,0.8999977111816406,1.3400001525878906,2.049999237060547,-0.9599990844726562,0.049999237060546875,-0.12999725341796875,0.48000335693359375,4054,5566,6721,57.427614970108685,57.17548824586826,56.550463372580346,0.007111292521929504,1
2000-02-01,57.349998474121094,57.849998474121094,56.16999816894531,57.130001068115234,4042,57.86000061035156,57.45000076293945,57.529998779296875,1.6800003051757812,1.4500007629394531,0.8999977111816406,1.3400001525878906,0.21999740600585938,-0.9599990844726562,0.049999237060546875,-0.12999725341796875,6238,4054,5566,57.643807996407865,57.37617325707564,56.765536475948764,-0.012696918664160036,0
2000-02-02,57.25,57.5,56.900001525878906,57.040000915527344,5365,57.130001068115234,57.86000061035156,57.45000076293945,0.5999984741210938,1.6800003051757812,1.4500007629394531,0.8999977111816406,0.20999908447265625,0.21999740600585938,-0.9599990844726562,0.049999237060546875,4042,6238,4054,57.38690440976037,57.3040212688701,56.82508902164412,-0.0015765992759342847,0
2000-02-03,57.400001525878906,57.5,55.70000076293945,56.09000015258789,10230,57.040000915527344,57.130001068115234,57.86000061035156,1.7999992370605469,0.5999984741210938,1.6800003051757812,1.4500007629394531,1.3100013732910156,0.20999908447265625,0.21999740600585938,-0.9599990844726562,5365,4042,6238,57.213452621289726,57.22665372062411,56.86005491883473,-0.016795245916002812,0
2000-02-04,55.900001525878906,56.400001525878906,55.209999084472656,56.08000183105469,7717,56.09000015258789,57.040000915527344,57.130001068115234,1.19000244140625,1.7999992370605469,0.5999984741210938,1.6800003051757812,-0.18000030517578125,1.3100013732910156,0.20999908447265625,0.21999740600585938,10230,5365,4042,56.651726319975815,56.8936206130699,56.735216782576046,-0.00017827086356190388,0
2000-02-07,55.849998474121094,56.380001068115234,55.650001525878906,56.18000030517578,6125,56.08000183105469,56.09000015258789,57.040000915527344,0.7299995422363281,1.19000244140625,1.7999992370605469,0.5999984741210938,-0.3300018310546875,-0.18000030517578125,1.3100013732910156,0.20999908447265625,7717,10230,5365,56.36586405847653,56.65525899536406,56.6293150199689,0.00178155173110938,1
2000-02-08,55.5,55.900001525878906,55.25,55.29999923706055,5941,56.18000030517578,56.08000183105469,56.09000015258789,0.6500015258789062,0.7299995422363281,1.19000244140625,1.7999992370605469,0.20000076293945312,-0.3300018310546875,-0.18000030517578125,1.3100013732910156,6125,7717,10230,56.272932179056575,56.51603491308632,56.556875656904744,-0.015787932376289265,0
2000-02-09,55.29999923706055,55.900001525878906,55.04999923706055,55.79999923706055,10053,55.29999923706055,56.18000030517578,56.08000183105469,0.8500022888183594,0.6500015258789062,0.7299995422363281,1.19000244140625,-0.5,0.20000076293945312,-0.3300018310546875,-0.18000030517578125,5941,6125,7717,55.78646570080964,56.159822826822456,56.35466801298345,0.009000960982599478,1
2000-02-10,55.79999923706055,57.79999923706055,55.650001525878906,57.540000915527344,12372,55.79999923706055,55.29999923706055,56.18000030517578,2.1499977111816406,0.8500022888183594,0.6500015258789062,0.7299995422363281,-1.7400016784667969,-0.5,0.20000076293945312,-0.3300018310546875,10053,5941,6125,55.793232468985515,56.0544238397145,56.265590632901514,0.030706518320032582,1
2000-02-11,57.29999923706055,57.70000076293945,56.900001525878906,56.970001220703125,6852,57.540000915527344,55.79999923706055,55.29999923706055,0.7999992370605469,2.1499977111816406,0.8500022888183594,0.6500015258789062,0.3299980163574219,-1.7400016784667969,-0.5,0.20000076293945312,12372,10053,5941,56.66661669551004,56.4895658502054,56.469950438284364,-0.00995553911512212,0
2000-02-14,56.75,59.099998474121094,56.650001525878906,57.2599983215332,8641,56.970001220703125,57.540000915527344,55.79999923706055,2.4499969482421875,0.7999992370605469,2.1499977111816406,0.8500022888183594,-0.5099983215332031,0.3299980163574219,-1.7400016784667969,-0.5,6852,12372,10053,56.81830895838913,56.63028818564934,56.550036435541166,0.005077435437465744,1
2000-02-15,57.0,57.0,55.709999084472656,55.7400016784668,8688,57.2599983215332,56.970001220703125,57.540000915527344,1.2900009155273438,2.4499969482421875,0.7999992370605469,2.1499977111816406,1.2599983215332031,-0.5099983215332031,0.3299980163574219,-1.7400016784667969,8641,6852,12372,57.039153640166845,56.814731643035444,56.663621390792756,-0.026904218190660693,0
2000-02-16,55.25,56.150001525878906,54.79999923706055,55.400001525878906,5491,55.7400016784668,57.2599983215332,56.970001220703125,1.3500022888183594,1.2900009155273438,2.4499969482421875,0.7999992370605469,-0.15000152587890625,1.2599983215332031,-0.5099983215332031,0.3299980163574219,8688,8641,6852,56.389577659014336,56.49994373149064,56.51598435936855,-0.00611843087005253,0
2000-02-17,55.79999923706055,56.5,55.40999984741211,55.470001220703125,4017,55.400001525878906,55.7400016784668,57.2599983215332,1.0900001525878906,1.3500022888183594,1.2900009155273438,2.4499969482421875,0.3299980163574219,-0.15000152587890625,1.2599983215332031,-0.5099983215332031,5491,8688,8641,55.89478959233142,56.1777732024481,56.337731188596706,0.0012627347775109661,1
2000-02-18,55.95000076293945,57.2400016784668,55.5,57.09000015258789,4017,55.470001220703125,55.400001525878906,55.7400016784668,1.7400016784667969,1.0900001525878906,1.3500022888183594,1.2900009155273438,-1.1399993896484375,0.3299980163574219,-0.15000152587890625,1.2599983215332031,4017,5491,8688,55.682395406492546,55.97046935180462,56.1992172562491,0.02878661657523901,1
2000-02-22,57.5,59.20000076293945,56.599998474121094,58.79999923706055,7646,57.09000015258789,55.470001220703125,55.400001525878906,2.6000022888183594,1.7400016784667969,1.0900001525878906,1.3500022888183594,-1.2999992370605469,-1.1399993896484375,0.3299980163574219,-0.15000152587890625,4017,4017,5491,56.38619777958119,56.29837483332712,56.34133656111622,0.02951286928049217,1
2000-02-23,57.900001525878906,59.349998474121094,57.900001525878906,58.41999816894531,678,58.79999923706055,57.09000015258789,55.470001220703125,1.4499969482421875,2.6000022888183594,1.7400016784667969,1.0900001525878906,-0.5199966430664062,-1.2999992370605469,-1.1399993896484375,0.3299980163574219,7646,4017,4017,57.593098508355986,57.031087610035286,56.733429308660234,-0.006483576312768251,0
2000-02-24,58.099998474121094,58.20000076293945,57.0,58.150001525878906,575,58.41999816894531,58.79999923706055,57.09000015258789,1.2000007629394531,1.4499969482421875,2.6000022888183594,1.7400016784667969,-0.0500030517578125,-0.5199966430664062,-1.2999992370605469,-1.1399993896484375,678,7646,4017,58.006548338656664,57.43789164611268,57.00229358579432,-0.0046323604115851395,0
2000-02-25,58.70000076293945,58.70000076293945,56.880001068115234,56.880001068115234,210,58.150001525878906,58.41999816894531,58.79999923706055,1.8199996948242188,1.2000007629394531,1.4499969482421875,2.6000022888183594,1.8199996948242188,-0.0500030517578125,-0.5199966430664062,-1.2999992370605469,575,678,7646,58.07827493226831,57.64646436354997,57.18519843179835,-0.022082100931684487,0
2000-02-28,57.099998474121094,57.599998474121094,56.29999923706055,57.58000183105469,82,56.880001068115234,58.150001525878906,58.41999816894531,1.2999992370605469,1.8199996948242188,1.2000007629394531,1.4499969482421875,-0.48000335693359375,1.8199996948242188,-0.0500030517578125,-0.5199966430664062,210,575,678,57.479138000189586,57.421972033662584,57.136573282546934,0.012231512710832506,1
2000-02-29,56.599998474121094,57.099998474121094,56.20000076293945,56.599998474121094,78,57.58000183105469,56.880001068115234,58.150001525878906,0.8999977111816406,1.2999992370605469,1.8199996948242188,1.2000007629394531,0.0,-0.48000335693359375,1.8199996948242188,-0.0500030517578125,82,210,575,57.52956991562223,57.468257952114975,57.20720638289012,-0.017166358734069298,0
2000-03-01,57.0,60.70000076293945,57.0,59.5,256,56.599998474121094,57.58000183105469,56.880001068115234,3.700000762939453,0.8999977111816406,1.2999992370605469,1.8199996948242188,-2.5,0.0,-0.48000335693359375,1.8199996948242188,78,82,210,57.06478419487124,57.21395039631347,57.110502991012545,0.049967354301438505,1
2000-03-02,59.75,59.75,58.650001525878906,58.650001525878906,21,59.5,56.599998474121094,57.58000183105469,1.0999984741210938,3.700000762939453,0.8999977111816406,1.2999992370605469,1.0999984741210938,-2.5,0.0,-0.48000335693359375,256,78,82,58.28239209743617,57.88351927462793,57.49099298466393,-0.014388711435409337,0
2000-03-03,59.04999923706055,59.150001525878906,58.5,59.04999923706055,17,58.650001525878906,59.5,56.599998474121094,0.6500015258789062,1.0999984741210938,3.700000762939453,0.8999977111816406,0.0,1.0999984741210938,-2.5,0.0,21,256,78,58.46619681165758,58.10801683540899,57.675522822443526,0.006796928606968617,1
